Dificultad;Categoría;Pregunta;Respuesta Correcta;Incorrecta 1;Incorrecta 2;Incorrecta 3
Fácil;Entretenimiento: Cine;¿La película de animación de Disney de 2016 'Moana' está basada en qué cultura?;Polinesio;Nativos americanos;Japonés;Nórdico
Fácil;Conocimientos generales;¿En qué dirección cardinal sale el Sol?;Este;Oeste;Norte;Sur
Fácil;Entretenimiento: Videojuegos;¿Qué vehículo en PUBG tiene la mayor velocidad máxima?;Motocicleta;PG-117;Dacia;Buggy
Fácil;Conocimientos generales;"Si te pillan ""haciendo el Goldbricking"", ¿qué estás haciendo mal?";Flojeo;Fumar;Robos;Trampa
Fácil;Ciencia: Informática;¿El lenguaje de programación 'Swift' se creó para reemplazar a qué otro lenguaje de programación?;Objetivo-C;C#;Ruby;C++
Fácil;Deportes;¿A qué equipo venció Inglaterra para ganar la final del Mundial de 1966?;Alemania Occidental;Unión Soviética;Portugal;Brasil
Fácil;Entretenimiento: Videojuegos;"En el juego de survival horror ""Cry of Fear"", ¿cómo se llamaba el amigo cercano/posible interés amoroso de Simon?";Sophie;Olivia;Jessica;Alice
Fácil;Entretenimiento: Anime y Manga japonés;"En ""Inuyasha"", ¿qué buscan coleccionar los héroes?";Fragmentos de joya;Bolas del Dragón;Rave Stones;Piedras Sagradas
Fácil;Geografía;¿Cuál es la capital de Dinamarca?;Copenhague;Aarhus;Odense;Aalborg
Fácil;Conocimientos generales;"En ""Shrek"", ¿qué actor cómico pone voz a Burro?";Eddie Murphy;Chris Rock;Richard Pryor;Bernie Mac
Fácil;Arte;¿Cuál es la obra de ficción más antigua conocida del mundo?;Epopeya de Gilgamesh;Papiro de Ani;Código de Hammurabi;Rosetta Stone
Fácil;Entretenimiento: Música;"¿Quién interpretó ""I Took A Pill In Ibiza""?";Mike Posner;Avicii;Robbie Williams;Harry Styles
Fácil;Animales;¿Cómo se llama la morada de un conejo?;Madriguera;Nest;Den;Dray
Fácil;Entretenimiento: Televisión;¿Cuál de estos personajes de Bojack Horseman es un humano?;Todd Chavez;Lennie Turtletaub;Princesa Carolyn;Tom Jumbo-Grumbo
Fácil;Entretenimiento: Videojuegos;¿Quién es el protagonista principal del juego Life is Strange: Before The Storm?;Chloe Price;Max Caulfield;Rachel Amber;Frank Bowers
Fácil;Ciencia: Informática;¿Cuántos bits suelen estar en un solo byte?;Ocho bits;Seis bits;Doce bits;Quince bits
Fácil;Entretenimiento: Videojuegos;¿Cuál es el alias por defecto que usa la Princesa Garnet en Final Fantasy IX?;Daga;Dirk;Garnet;Quina
Fácil;Conocimientos generales;¿Qué presidente estadounidense aparece en un billete de un dólar?;George Washington;Thomas Jefferson;Abraham Lincoln;Benjamin Franklin
Fácil;Deportes;La UEFA Champions League es una competición anual de fútbol de clubes que incluye a clubes de qué continente.;Europa;Sudamérica;África;Asia
Fácil;Entretenimiento: Videojuegos;En el primer juego de la franquicia Sly Cooper, ¿qué reliquia familiar quería Sly Cooper recuperar con él?;Thievius Raccoonus;Entrenamiento de mapaches 101;El arte del sigilo;Raccoonus Teachus
Fácil;Entretenimiento: Música;"¿Qué banda de punk rock ha lanzado éxitos como ""Californication"", ""Can't Stop"" y ""Under the Bridge""?";Red Hot Chilli Peppers;Green Day;Parque Linkin;Foo Fighters
Fácil;Arte;¿Qué color se produce mezclando negro y blanco?;Grey;Negro;Brown;Blanco
Fácil;Entretenimiento: Juegos de mesa;¿Cuántas piezas hay en el tablero al inicio de una partida de ajedrez?;32;16;20;36
Fácil;Entretenimiento: Cine;¿Quién interpreta a Alicia en las películas de Resident Evil?;Milla Jovovich;Madison Derpe;Milla Johnson;Kim Demp
Fácil;Entretenimiento: Dibujos animados y animaciones;¿Cuál fue la primera película de Disney en usar CGI?;El Caldero Negro;Tron;Toy Story;Fantasía
Fácil;Entretenimiento: Videojuegos;"En el juego ""DELTARUNE"", ¿cuál es la habilidad especial de Ralsei?";Pacificar;Persuade;Eliminar;Abrazo
Fácil;Entretenimiento: Videojuegos;"¿Cuál de estos NO es un personaje principal jugable en ""Grand Theft Auto V""?";Lamar;Trevor;Michael;Franklin
Fácil;Entretenimiento: Televisión;¿Cómo se llamó el primer episodio de Doctor Who emitido en 1963?;Un niño sobrenatural;Los Daleks;Los aztecas;El borde de la destrucción
Fácil;Geografía;¿Qué país tiene una bandera bicolor horizontal roja y blanca?;Mónaco;Baréin;Malta;Liechenstein
Fácil;Geografía;¿Cuál es la decimoquinta letra del alfabeto griego?;Ómicron (Ο);Sigma (Σ);Pi (Π);Nu (ν)
Fácil;Conocimientos generales;¿Qué país, sin contar Japón, tiene más personas de ascendencia japonesa?;Brasil;China;Corea del Sur;Estados Unidos de América
Fácil;Historia;¿Qué famoso comandante militar marchó con un ejército, que incluía elefantes de guerra, por los Alpes durante la Segunda Guerra Púnica?;Hannibal;Garmanicus;Alejandro Magno;Tiberio
Fácil;Ciencia: Informática;En cualquier lenguaje de programación, ¿cuál es la forma más común de iterar a través de un array?;Bucles For';Afirmaciones 'si';Bucles 'Do-while';Bucles de 'While'
Fácil;Conocimientos generales;"¿Qué día se lanzó el servicio de alojamiento de archivos, ""Google Drive""?";41023;12 de enero;2014;14 de noviembre
Fácil;Ciencia: Informática;¿Qué significa CPU?;Unidad Central de Procesamiento;Unidad Central de Procesos;Unidad Personal de Ordenador;Unidad Central de Procesadores
Fácil;Conocimientos generales;¿Cuándo se estrenó Pong?;26632;29 de marzo;2017;29 de noviembre
Fácil;Deportes;¿Qué boxeador fue sancionado por morder la oreja de Evander Holyfield en 1997?;Mike Tyson;Roy Jones Jr.;Evander Holyfield;Lennox Lewis
Fácil;Conocimientos generales;Cuando alguien es cobarde, ¿se dice que tiene de qué color la barriga?;Amarillo;Verde;Rojo;Azul
Fácil;Historia;¿A qué partido político pertenecía Abraham Lincoln cuando fue elegido presidente?;Republicano;Demócrata;Independiente;Whig
Fácil;Entretenimiento: Videojuegos;En el juego original de Spyro, ¿quién es el primer villano?;Gnasty Gnorc;Ripto;Hechicera;Cynder
Fácil;Entretenimiento: Dibujos animados y animaciones;¿Cuál de los siguientes no apareció en el dibujo animado 'Wacky Races'?;El Carro del Dragón;El Bouldermobile;El Haybailer Carmesí;El Gato Compacto
Fácil;Entretenimiento: Videojuegos;"En ""Yo! Noid 2,"" ¿Qué movimiento especial puede hacer el Noid?";Dab;Pizza Throw;Voltereta Esquiva;Dash giratorio
Fácil;Historia;¿Pol Pot fue el antiguo dictador de qué país?;Camboya;Laos;Corea del Norte;Vietnam
