Dificultad;Categoría;Pregunta;Respuesta Correcta;Incorrecta 1;Incorrecta 2;Incorrecta 3
Duro;Entretenimiento: Videojuegos;"¿Qué rango militar es el protagonista ""Nómada"" en ""Crysis""?";Teniente Primero;Capitán;Primer Sargento;Sargento de Estado Mayor
Duro;Entretenimiento: Juegos de mesa;¿Qué clase de personaje en Dungeons and Dragons 5ª edición obtiene sus poderes al hacer un pacto con un ser de mayor poder?;Brujo;Mago;Hechicero;Clérigo
Duro;Entretenimiento: Videojuegos;¿Cuántas copias del infame juego de E.T. para Atari 2600 acabó vendiendo Atari?;1,5 millones;1 millón;250 mil;Menos de 250 mil
Duro;Celebridades;¿En qué año nació Gabe Newell?;1962;1970;1960;1972
Duro;Entretenimiento: Videojuegos;"En el juego ""Super Hang-On"", ¿cuál es la velocidad máxima CON el uso del turbo?";324 km/h;320 km/h;280 km/h;286 km/h
Duro;Conocimientos generales;¿Qué producto vendía originalmente Nokia, la empresa de telecomunicaciones?;Papel;Teléfonos;Ordenadores;Procesadores
Duro;Entretenimiento: Libros;¿Cuál de las siguientes NO es una obra de Shakespeare?;Juicio de Templanza;Medida por medida;Tito Andrónico;Cymbeline
Duro;Entretenimiento: Videojuegos;¿Cuántos personajes jugables hay en Super Smash Bros. para Nintendo 3DS y Wii U?;58;48;51;55
Duro;Ciencia y Naturaleza;¿Cuál es la toxina más potente conocida?;Toxina botulínica;Ricina;Cianuro;Amianto
Duro;Política;¿Cuál de los siguientes presidentes de Estados Unidos sirvió el mandato más corto?;William Henry Harrison;Zachary Taylor;James A. Garfield;Warren G. Harding
Duro;Entretenimiento: Libros;"¿Quién escribió la novela ""Moby-Dick""?";Herman Melville;William Golding;William Shakespeare;J. R. R. Tolkien
Duro;Historia;¿En qué año se firmó la Declaración de Independencia de Estados Unidos?;1776;1775;1774;1777
Duro;Entretenimiento: Juegos de mesa;"¿El juego de mesa ""Ra"" fue diseñado por qué diseñador?";Reiner Knizia;Bruno Cathala;Uwe Rosenburg;Allison Kline
