Dificultad;Categoría;Pregunta;Respuesta Correcta;Incorrecta 1;Incorrecta 2;Incorrecta 3
Medio;Entretenimiento: Cómics;¿Quién fue el primer vampiro americano (American Vampire de Scott Snyder)?;Skinner Sweet;Hattie Hargrove;Pearl Jones;"Libro de James ""Jim"""
Medio;Geografía;"Frankenmuth, una ciudad estadounidense apodada ""Pequeña Baviera"", está situada en qué estado?";Michigan;Pensilvania;Kentucky;Virginia
Medio;Entretenimiento: Anime y Manga japonés;¿Cuál fue la primera serie animada original de larga duración para televisión del estudio Trigger?;Kill la Kill;Kiznaiver;Inferno Cop;Gurren Lagann
Medio;Entretenimiento: Música;¿Cuál es el nombre del álbum de estudio de 2016 del dúo francés de música electrónica Justice?;Mujer;Randy;Sano y salvo;Un placer
Medio;Entretenimiento: Televisión;En la serie de Netflix Stranger Things, ¿qué canción cantaría Will para sí mismo mientras estaba desaparecido?;¿Debería quedarme o debería irme?;El amor nos separará;Este hombre encantador;África
Medio;Entretenimiento: Anime y Manga japonés;En Pokémon Chronicles, ¿por qué Misty tenía miedo de Gyarados?;Se metió en su boca cuando era bebé.;Le daba miedo.;Resultó gravemente herida por ello.;Es en parte Bug.
Medio;Conocimientos generales;¿Qué falacia lógica significa atacar el carácter de tu oponente en lugar de sus argumentos?;Ad hominem;Post hoc ergo propter hoc;Tú quoque;Argumentum ad populum
Medio;Mitología;¿Cómo se llama el salvaje con el que Gilgamesh se hace amigo y con quien sale de aventuras?;Enkidu;Ishtar;Inanna;Agga
Medio;Deportes;¿Qué equipo fue campeón de la NBA en la temporada 2015-2016?;Cleveland Cavaliers;Golden State Warriors;Toronto Raptors;Oklahoma City Thunders
Medio;Deportes;¿Cuál es el equipo más antiguo de la NFL?;Arizona Cardinals;Chicago Bears;Green Bay Packers;New York Giants
Medio;Ciencia: Informática;En general, ¿qué componente de un ordenador consume más energía?;Tarjeta gráfica;Disco duro;Procesador;Suministro eléctrico
Medio;Entretenimiento: Música;"¿Qué álbum de Aerosmith incluía ""Walk This Way""?";Juguetes en el desván;Rocas;¡Consigue tus alas;Traza la línea
Medio;Entretenimiento: Videojuegos;"Los editores de videojuegos conocidos como ""tinyBuild"" publicaron cuál de estos juegos?";Cluster truck;No te mueras de hambre;Valle Stardew;Ganadero de Slime
